CustomerID|Name|Address1|Birthday|Phone
100000012|Anna R. Christian|3323 Morgan Street,Fort Walton beach,FL,32548,US||850-467-1006
100000013|Cheeks, Linda R.|3385 Rinehart Road,Miami,FL,33128,US|1927-01-01|
100000013|Linda R. Cheeks|3385 Rinehart Rd,Miami,FL,33128,US||786-499-2016
100000013|LINDA CHEEKS|3385 RINEHART RD,MIAMI,FLORIDA,33128,US||
100000014|Yates, Agnes R.|4334 Chestnut Street,Polk City,FL,33868,US|1927-01-01|
100000014|Agnes R. Yates|4334 Chestnut Street,Polk City,FL,33868,US||727-460-5745
100000014|AGNES YATES|4334 CHESTNUT ST,POLK CITY,FLORIDA,33868,US||
100000015|Snider, Regina C.|3697 Rinehart Road,Sunrise,FL,33323,US|1927-01-01|
100000015|Regina C. Snider|3697 Rinehart Rd,Sunrise,FL,33323,US||786-356-4455
100000015|REGINA SNIDER|3697 RINEHART RD,SUNRISE,FLORIDA,33323,US||
100000016|Robinson, Nichole W.|622 Chestnut Street,Tampa,FL,33610,US|1927-01-01|
100000016|Nichole W. Robinson|622 Chestnut Street,Tampa,FL,33610,US||727-410-7274
100000016|NICHOLE ROBINSON|622 CHESTNUT ST,TAMPA,FLORIDA,33610,US||
100000017|Kevin D. Ramirez|1813 Flint St,Atlanta,GA,30303,US||678-241-0197
100000017|KEVIN RAMIREZ|1813 FLINT ST,ATLANTA,GEORGIA,30303,US||
100000017|Ramirez, Kevin D.|1813 Flint Street,Atlanta,GA,30303,US|1927-01-01|
100000018|Kris J. Carolan|3935 Lakeland Park Driv,Duluth,GA,30097,US||770-584-8429
100000018|KRIS CAROLAN|3935 LAKELAND PARK DRIVE,DULUTH,GEORGIA,30097,US||
100000018|Carolan, Kris J.|3935 Lakeland Park Driv,Duluth,GA,30097,US|1927-01-01|
100000019|Thomas E. Jenkins|2565 Pin Oak Dr,Davenport,IA,52803,US||563-333-4706
100000019|THOMAS JENKINS|2565 PIN OAK DR,DAVENPORT,IOWA,52803,US||
100000019|Jenkins, Thomas E.|2565 Pin Oak Drive,Davenport,IA,52803,US|1927-01-01|
100000020|Tillman, Michael B.|4854 Poplar Street,Calumet City,IL,60409,US|1927-01-01|
100000020|Michael B. Tillman|4854 Poplar Street,Calumet City,IL,60409,US||708-730-8200
100000020|MICHAEL TILLMAN|4854 POPLAR ST,CALUMET CITY,ILLINOIS,60409,US||
